,x
(Intercept),3.406691483
longitude,-0.002611107
review_count,0.000525046
intimateTrue,0.48828696
hipsterTrue,0.252746702
diveyTrue,0.221251531
trendyTrue,0.245883365
dessertTrue,0.164693027
latenightTrue,-0.161085015
dinnerTrue,0.069691391
brunchTrue,0.251143531
GoodForKidsTrue,0.118468735
CatersTrue,0.26338281
NoiseLevel'loud',-0.197102952
NoiseLevel'quiet',0.082597055
NoiseLevel'very_loud',-0.228271665
RestaurantsTableServiceTrue,0.205916213
RestaurantsPriceRange2,-0.205236147
OutdoorSeatingTrue,-0.056887751
HasTVTrue,0.130761472
WiFi'no',0.183677858
Alcohol'full_bar',0.086787097
RestaurantsDeliveryTrue,0.116841682
BusinessAcceptsCreditCardsTrue,-0.570705632
WheelchairAccessibleTrue,-0.343877481
park,0.080902993
