,Unnamed: 0,name,both_pos,semantic_pos_rating_neg,semantic_neg_rating_pos,both_neg,p-value
0,0,taco,11832,4577,949,1551,8.863175816168467e-253
1,1,burrito,8447,2857,625,1125,3.513120861129365e-238
2,2,salsa,22125,8206,961,1647,0.0
3,3,chips,15724,6311,680,1401,5.044480942845228e-286
4,4,rice,4793,2264,1481,1822,6.2593079798840834e-111
5,5,guacamole,8003,2624,1204,1181,6.161566478889454e-128
6,6,asada,5624,1167,326,384,1.4174550992271527e-117
7,7,chipotle,3290,1981,187,553,1.6347317561018736e-81
8,8,tortilla,3462,1516,389,703,2.537548868574084e-98
9,9,salad,3026,1039,210,326,5.854472845718648e-63
10,10,nacho,629,216,47,61,5.7154959832771046e-11
11,11,enchilada,1393,585,131,246,6.1716567879969294e-40
12,12,meat,5971,2716,362,1262,2.0951869682016418e-272
13,13,chicken,9444,3119,1282,1493,4.5984576296643615e-199
14,14,fish,5229,1287,548,547,2.491801071183391e-103
15,15,shrimp,4620,1064,421,427,8.936609470278467e-93
16,16,beef,3743,1364,477,536,1.1856578639973462e-60
17,17,pork,4705,1324,706,391,2.6744090485258335e-22
18,18,steak,3645,1141,319,398,3.846883486174458e-69
19,19,service,60985,16962,1899,14250,0.0
20,20,time,11505,4179,1074,2027,0.0
21,21,wait,5899,1532,344,633,3.6600418282956995e-193
22,22,minute,309,169,24,62,3.8775745778996264e-10
23,23,staff,25439,5530,286,1344,0.0
24,24,waitress,3556,2198,134,817,7.486910517610433e-165
25,25,waiter,3480,1568,112,542,1.5266457499631433e-146
26,26,atmosphere,14999,4057,222,329,1.6211325895921253e-100
27,27,price,7960,2936,435,520,1.3005445141854676e-71
28,28,breakfast,3255,546,140,141,1.6008200495002106e-53
29,29,lunch,5828,1498,342,407,9.251961268617793e-96
30,30,dinner,4211,1315,266,402,3.166505331861991e-87
31,31,line,1362,716,156,325,3.4656625557968795e-40
32,32,drink,3976,1954,237,479,1.1841899559385286e-70
33,33,margarita,5832,2184,499,627,3.003651837372626e-83
34,34,table,3697,1920,286,665,2.3254976214573807e-96
35,35,fries,3186,960,254,360,1.2300706888237126e-74
36,36,manager,1581,745,65,551,3.4010423458542923e-143
37,37,beer,3065,989,528,399,5.068425119562635e-30
38,38,patio,4085,1652,79,92,2.967678975361301e-12
39,39,bacon,1039,264,151,91,6.3936342330324834e-09
40,40,vegan,1238,194,56,28,1.3908765074728916e-06
41,41,quesadilla,1982,686,222,250,1.5501687137937922e-32
42,42,chile,2027,456,146,141,8.812600676220089e-33
43,43,enchilada,1393,585,131,246,6.1716567879969294e-40
